Connected Company,Start Company Sector,Connected Company Sector,Start CompanyID*,Start Company Type,Start Company Role End Date,Connected Company Index,DirectorID*,Connected Company Duration,ED/NED/Non-Brd,Connected Company Role End Date,Connected Company Current/Historic,Start Company Current/Historic,Connected CompanyID*,Start Company,Connected Company Type,Start Company Duration,Start Company Role,Start Company Role Start Date,Connected Company Country,Connected Company Role Name,Start Company Country,Start ED/NED/Non-Brd,Start Company Index,Director Name,Connected Company Role Start Date,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
21st Century Inc,Insurance,,434558155,Quoted,2016-08-01 00:00:00,,22854315693,1,Non-Brd,2009-06-01 00:00:00,Historic (2009),Historic (2019),299796312310,ZURICH INSURANCE GROUP AG (Zurich Financial Services Ltd prior to 04/2012),Private,< 1 Year,Group Head - HR,2016-03-01 00:00:00,United States,Human Resources Officer,Switzerland,Non-Brd,"SMI , Stoxx Europe 50",Laura Rock,2008-01-01 00:00:00,Europe - Company Network - 11,Europe,Director,Company Network,11,
21st Century Inc,Insurance,,434558155,Quoted,2019-05-01 00:00:00,,22854315693,1,Non-Brd,2009-06-01 00:00:00,Historic (2009),Historic (2019),299796312310,ZURICH INSURANCE GROUP AG (Zurich Financial Services Ltd prior to 04/2012),Private,3,Head of HR,2016-08-01 00:00:00,United States,Human Resources Officer,Switzerland,Non-Brd,"SMI , Stoxx Europe 50",Laura Rock,2008-01-01 00:00:00,Europe - Company Network - 11,Europe,Director,Company Network,11,
21ST CENTURY INSURANCE GROUP (De-listed 09/2007),Insurance,Insurance,434558155,Quoted,Current,,20130311475,5,NED,2007-09-27 00:00:00,Historic (2007),Current,10522828,ZURICH INSURANCE GROUP AG (Zurich Financial Services Ltd prior to 04/2012),Quoted,5,Independent Director,2016-03-30 00:00:00,United States,Director -SD,Switzerland,NED,"SMI , Stoxx Europe 50",Jeffrey L Hayman,2002-12-30 00:00:00,Europe - Company Network - 11,Europe,Director,Company Network,11,
30% Club,Insurance,,434558155,Quoted,2010-06-30 00:00:00,,5665976849,2,Other,Current,Current,Historic (2010),176043510645,ZURICH INSURANCE GROUP AG (Zurich Financial Services Ltd prior to 04/2012),Clubs,3,Division CEO,2007-03-01 00:00:00,United Kingdom - England,Member,Switzerland,Non-Brd,"SMI , Stoxx Europe 50",Annette Elizabeth Court,2019-08-01 00:00:00,Europe - Company Network - 11,Europe,Director,Company Network,11,
32 Advisors LLC,Insurance,,434558155,Quoted,Current,,13881357186,3,Non-Brd,2016,Historic (2016),Current,195036912084,ZURICH INSURANCE GROUP AG (Zurich Financial Services Ltd prior to 04/2012),Private,4,Advisory Chairman,2017-05-01 00:00:00,United States,Strategic Partner,Switzerland,Non-Brd,"SMI , Stoxx Europe 50",Jaime Perdigo Malet,2013-09-01 00:00:00,Europe - Company Network - 11,Europe,Director,Company Network,11,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Automobiles & Parts,Diversified Industrials,26348339438,Quoted,Current,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",11671494144,2,Non-Brd,2013-11-15 00:00:00,Historic (2020),Current,279913389,ADIENT PLC,Quoted,4,Independent Director,2016-10-31 00:00:00,United States,Executive VP,Republic Of Ireland,NED,S&P MID CAP 400,Julie L Bushman,2011-06-01 00:00:00,Europe - Company Network - 12,Europe,Director,Company Network,12,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Automobiles & Parts,Diversified Industrials,26348339438,Quoted,Current,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",11671494144,2,Non-Brd,2006,Historic (2020),Current,279913389,ADIENT PLC,Quoted,4,Independent Director,2016-10-31 00:00:00,United States,Staff VP,Republic Of Ireland,NED,S&P MID CAP 400,Julie L Bushman,2004,Europe - Company Network - 12,Europe,Director,Company Network,12,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Automobiles & Parts,Diversified Industrials,26348339438,Quoted,Current,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",11671494144,4,Non-Brd,2011-06-01 00:00:00,Historic (2020),Current,279913389,ADIENT PLC,Quoted,4,Independent Director,2016-10-31 00:00:00,United States,Division VP/General Manager,Republic Of Ireland,NED,S&P MID CAP 400,Julie L Bushman,2007,Europe - Company Network - 12,Europe,Director,Company Network,12,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Automobiles & Parts,Diversified Industrials,26348339438,Quoted,Current,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",11671494144,4,Non-Brd,2017-07-01 00:00:00,Historic (2020),Current,279913389,ADIENT PLC,Quoted,4,Independent Director,2016-10-31 00:00:00,United States,Senior VP - IT,Republic Of Ireland,NED,S&P MID CAP 400,Julie L Bushman,2013-11-15 00:00:00,Europe - Company Network - 12,Europe,Director,Company Network,12,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Automobiles & Parts,Diversified Industrials,26348339438,Quoted,Current,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",11671494144,1,Non-Brd,2007,Historic (2020),Current,279913389,ADIENT PLC,Quoted,4,Independent Director,2016-10-31 00:00:00,United States,Division VP,Republic Of Ireland,NED,S&P MID CAP 400,Julie L Bushman,2006,Europe - Company Network - 12,Europe,Director,Company Network,12,
38 VIGAVI Vermögensverwaltungsgesellschaft mbH,Real Estate,,205494812823,Quoted,Current,,6936679237,3,Non-Brd,Current,Current,Current,285419311243,VONOVIA SE (Deutsche Annington Immobilien SE prior to 09/2015),Private,7,Independent Board Member,2014-08-21 00:00:00,Germany,MD,Germany,NED,"DAX , Euro Stoxx 50",Christian Ulbrich,2018-02-01 00:00:00,Europe - Company Network - 13,Europe,Director,Company Network,13,
50Hertz Transmission GmbH (Formerly known as Vattenfall Europe Transmission GmbH),Real Estate,,205494812823,Quoted,2018-05-09 00:00:00,,3602911243,< 1 Year,ED,2007-07-18 00:00:00,Historic (2007),Current,8529403434,VONOVIA SE (Deutsche Annington Immobilien SE prior to 09/2015),Private,1,Deputy Chairman (Independent Board Member),2017-09-07 00:00:00,Germany,Board Member -ED,Germany,NED,"DAX , Euro Stoxx 50",Professor Doctor Klaus Rauscher,2007,Europe - Company Network - 13,Europe,Director,Company Network,13,
50Hertz Transmission GmbH (Formerly known as Vattenfall Europe Transmission GmbH),Real Estate,,205494812823,Quoted,Current,,3602911243,< 1 Year,ED,2007-07-18 00:00:00,Historic (2007),Current,8529403434,VONOVIA SE (Deutsche Annington Immobilien SE prior to 09/2015),Private,3,Independent Board Member,2018-08-01 00:00:00,Germany,Board Member -ED,Germany,NED,"DAX , Euro Stoxx 50",Professor Doctor Klaus Rauscher,2007,Europe - Company Network - 13,Europe,Director,Company Network,13,
50Hertz Transmission GmbH (Formerly known as Vattenfall Europe Transmission GmbH),Real Estate,,205494812823,Quoted,2017-09-07 00:00:00,,3602911243,< 1 Year,ED,2007-07-18 00:00:00,Historic (2007),Current,8529403434,VONOVIA SE (Deutsche Annington Immobilien SE prior to 09/2015),Private,4,Independent Board Member,2013-07-11 00:00:00,Germany,Board Member -ED,Germany,NED,"DAX , Euro Stoxx 50",Professor Doctor Klaus Rauscher,2007,Europe - Company Network - 13,Europe,Director,Company Network,13,
Academy of European Law (ERA),Real Estate,,205494812823,Quoted,Current,,82420211475,,Other,,Historic,Current,11580803972,VONOVIA SE (Deutsche Annington Immobilien SE prior to 09/2015),Private,3,Independent Board Member,2018-05-09 00:00:00,Germany,Education,Germany,NED,"DAX , Euro Stoxx 50",Vitus Eckert,,Europe - Company Network - 13,Europe,Director,Company Network,13,
11 88 0 SOLUTIONS AG (Telegate AG prior to 07/2016),Speciality & Other Finance,Media & Entertainment,1057073931,Quoted,Current,,15207658555,4,NED,2002,Historic (2002),Current,389841988,AURELIUS EQUITY OPPORTUNITIES SE & CO KGAA (AURELIUS SE & Co KGaA prior to 07/2016),Quoted,5,Committee Chairman,2016-06-09 00:00:00,Germany,Director -SD,Germany,Non-Brd,,Dirk Roesing,1998,Europe - Company Network - 2,Europe,Director,Company Network,2,
11 88 0 SOLUTIONS AG (Telegate AG prior to 07/2016),Speciality & Other Finance,Media & Entertainment,1057073931,Quoted,2016-06-09 00:00:00,,15207658555,4,NED,2002,Historic (2002),Current,389841988,AURELIUS EQUITY OPPORTUNITIES SE & CO KGAA (AURELIUS SE & Co KGaA prior to 07/2016),Quoted,10,Chairman,2006-05-04 00:00:00,Germany,Director -SD,Germany,NED,,Dirk Roesing,1998,Europe - Company Network - 2,Europe,Director,Company Network,2,
12snap Germany GmbH,Speciality & Other Finance,,1057073931,Quoted,Current,,15207668555,9,Non-Brd,2008,Historic (2008),Current,12923126034,AURELIUS EQUITY OPPORTUNITIES SE & CO KGAA (AURELIUS SE & Co KGaA prior to 07/2016),Private,8,Vice Chairman,2013-05-16 00:00:00,Germany,CFO,Germany,NED,,Professor Doctor Bernd Mühlfriedel,1999,Europe - Company Network - 2,Europe,Director,Company Network,2,
3W POWER SA (3W Power Holdings SA prior to 05/2011) (De-listed 05/2018),Speciality & Other Finance,Renewable Energy,1057073931,Quoted,2018-05-18 00:00:00,,2378210855,4,NED,2013-12-13 00:00:00,Historic (2013),Historic (2018),11476723774,AURELIUS EQUITY OPPORTUNITIES SE & CO KGAA (AURELIUS SE & Co KGaA prior to 07/2016),Quoted,2,Chairman,2016-06-09 00:00:00,Luxembourg,NED,Germany,NED,,Professor Doctor Mark Matthias Wössner,2009-08-12 00:00:00,Europe - Company Network - 2,Europe,Director,Company Network,2,
3W POWER SA (3W Power Holdings SA prior to 05/2011) (De-listed 05/2018),Speciality & Other Finance,Renewable Energy,1057073931,Quoted,2016-06-09 00:00:00,,2378210855,4,NED,2013-12-13 00:00:00,Historic (2013),Historic (2018),11476723774,AURELIUS EQUITY OPPORTUNITIES SE & CO KGAA (AURELIUS SE & Co KGaA prior to 07/2016),Quoted,3,Advisory Board Member,2013-01-01 00:00:00,Luxembourg,NED,Germany,Non-Brd,,Professor Doctor Mark Matthias Wössner,2009-08-12 00:00:00,Europe - Company Network - 2,Europe,Director,Company Network,2,
ABB Group,Electricity,,104178052,Quoted,2004-11-01 00:00:00,,82187311298,1,Other,1999,Historic (1999),Historic (2015),558259108,CEZ AS,Private,< 1 Year,Director -ED,2004-10-21 00:00:00,Germany,Education,Czech Republic,ED,,Jiří Borovec,1998,Europe - Company Network - 3,Europe,Director,Company Network,3,
ABB Group,Electricity,,104178052,Quoted,2006-01-09 00:00:00,,82187311298,1,Other,1999,Historic (1999),Historic (2015),558259108,CEZ AS,Private,1,Chief Production Officer,2004-11-01 00:00:00,Germany,Education,Czech Republic,ED,,Jiří Borovec,1998,Europe - Company Network - 3,Europe,Director,Company Network,3,
ABB Group,Electricity,,104178052,Quoted,2007-12-31 00:00:00,,82187311298,1,Other,1999,Historic (1999),Historic (2015),558259108,CEZ AS,Private,2,Vice Chairman,2006-01-09 00:00:00,Germany,Education,Czech Republic,ED,,Jiří Borovec,1998,Europe - Company Network - 3,Europe,Director,Company Network,3,
ABB Group,Electricity,,104178052,Quoted,2015-06-11 00:00:00,,82187311298,1,Other,1999,Historic (1999),Historic (2015),558259108,CEZ AS,Private,1,Vice Chairman,2014-06-27 00:00:00,Germany,Education,Czech Republic,NED,,Jiří Borovec,1998,Europe - Company Network - 3,Europe,Director,Company Network,3,
ABB Service Ostrava sro,Electricity,,104178052,Quoted,2006-01-09 00:00:00,,82187311298,3,Non-Brd,2002-09-07 00:00:00,Historic (2002),Historic (2015),13545256801,CEZ AS,Private,1,Chief Production Officer,2004-11-01 00:00:00,Czech Republic,MD,Czech Republic,ED,,Jiří Borovec,1999-10-14 00:00:00,Europe - Company Network - 3,Europe,Director,Company Network,3,
2INVEST AG (4basebio AG prior to 04/2021),Engineering & Machinery,Pharmaceuticals and Biotechnology,1465410847,Quoted,2007-05-14 00:00:00,,3796288940,1,ED,2004-10-14 00:00:00,Historic (2004),Historic (2007),2583812179,DUERR AG,Quoted,2,CFO,2005-04-20 00:00:00,Germany,Co-CEO/CFO,Germany,ED,MDAX,Martin Hollenhorst,2004-01-01 00:00:00,Europe - Company Network - 4,Europe,Director,Company Network,4,
2INVEST AG (4basebio AG prior to 04/2021),Engineering & Machinery,Pharmaceuticals and Biotechnology,1465410847,Quoted,2007-05-21 00:00:00,,3796288940,2,ED,2004-01-01 00:00:00,Historic (2004),Historic (2007),2583812179,DUERR AG,Quoted,< 1 Year,Board Member -SD,2007-05-14 00:00:00,Germany,CFO,Germany,NED,MDAX,Martin Hollenhorst,2002-04-01 00:00:00,Europe - Company Network - 4,Europe,Director,Company Network,4,
2INVEST AG (4basebio AG prior to 04/2021),Engineering & Machinery,Pharmaceuticals and Biotechnology,1465410847,Quoted,2007-05-14 00:00:00,,3796288940,2,ED,2004-01-01 00:00:00,Historic (2004),Historic (2007),2583812179,DUERR AG,Quoted,2,CFO,2005-04-20 00:00:00,Germany,CFO,Germany,ED,MDAX,Martin Hollenhorst,2002-04-01 00:00:00,Europe - Company Network - 4,Europe,Director,Company Network,4,
2INVEST AG (4basebio AG prior to 04/2021),Engineering & Machinery,Pharmaceuticals and Biotechnology,1465410847,Quoted,2007-05-21 00:00:00,,3796288940,1,ED,2004-10-14 00:00:00,Historic (2004),Historic (2007),2583812179,DUERR AG,Quoted,< 1 Year,Board Member -SD,2007-05-14 00:00:00,Germany,Co-CEO/CFO,Germany,NED,MDAX,Martin Hollenhorst,2004-01-01 00:00:00,Europe - Company Network - 4,Europe,Director,Company Network,4,
ABB Automation GmbH,Engineering & Machinery,,1465410847,Quoted,2019-01-01 00:00:00,,16051749338,4,Non-Brd,1998,Historic (1998),Historic (2020),188179011582,DUERR AG,Private,3,Division CEO,2015-07-01 00:00:00,Germany,General Manager,Germany,Non-Brd,MDAX,Pekka Paasivaara,1994,Europe - Company Network - 4,Europe,Director,Company Network,4,
Aachen University of Applied Sciences (AcUAS),Diversified Industrials,,276742719,Quoted,2016,,21942724273,,Other,,Historic,Historic (2016),14099797422,GEA GROUP AG,Universities,5,Quality Manager,2011,Germany,Education,Germany,Non-Brd,MDAX,Arno Groll,,Europe - Company Network - 5,Europe,Director,Company Network,5,
Aarhus Universitet (Aarhus University),Diversified Industrials,,276742719,Quoted,2013-04-18 00:00:00,,5792128186,1,Other,1973,Historic (1973),Historic (2013),746005707,GEA GROUP AG,Universities,6,COO,2007-08-01 00:00:00,Denmark,Education,Germany,ED,MDAX,Niels Lykke Graugaard,1972,Europe - Company Network - 5,Europe,Director,Company Network,5,
Aarhus Universitet (Aarhus University),Diversified Industrials,,276742719,Quoted,2007-08-01 00:00:00,,5792128186,1,Other,1973,Historic (1973),Historic (2013),746005707,GEA GROUP AG,Universities,8,Division President,1999,Denmark,Education,Germany,Non-Brd,MDAX,Niels Lykke Graugaard,1972,Europe - Company Network - 5,Europe,Director,Company Network,5,
ABB Group,Diversified Industrials,,276742719,Quoted,2006-04-01 00:00:00,,62930112281,2,Non-Brd,2007-11-01 00:00:00,Historic (2007),Historic (2006),558259108,GEA GROUP AG,Private,2,Division COO,2004-06-01 00:00:00,Germany,Head of Division,Germany,Non-Brd,MDAX,Didier Maurice Pfleger,2006-05-01 00:00:00,Europe - Company Network - 5,Europe,Director,Company Network,5,
ABB Group,Diversified Industrials,,276742719,Quoted,2004-10-31 00:00:00,,340389819,14,Non-Brd,1996,Historic (2001),Historic (2019),558259108,GEA GROUP AG,Private,4,Board Member -ED,2001-05-01 00:00:00,Germany,Various Positions,Germany,ED,MDAX,Jürg Oleas,1982,Europe - Company Network - 5,Europe,Director,Company Network,5,
3P (L) Sarl,Real Estate,,2373410823,Quoted,,,3575936693,,NED,,Historic,Historic,174796210547,IVG IMMOBILIEN AG (IVG Hldg prior to 06/2002) (De-listed 08/2014),Private,,Advisor,,Luxembourg,Director -SD,Germany,Non-Brd,,Dirk Ernestus Van Den Broeck,,Europe - Company Network - 6,Europe,Director,Company Network,6,
3P Air Freighters Belgium NV,Real Estate,,2373410823,Quoted,,,3575936693,,NED,,Historic,Historic,15814779117,IVG IMMOBILIEN AG (IVG Hldg prior to 06/2002) (De-listed 08/2014),Private,,Advisor,,Belgium,Director -SD,Germany,Non-Brd,,Dirk Ernestus Van Den Broeck,,Europe - Company Network - 6,Europe,Director,Company Network,6,
3P Air Freighters Ltd,Real Estate,,2373410823,Quoted,,,3575936693,,NED,,Historic,Historic,15814749117,IVG IMMOBILIEN AG (IVG Hldg prior to 06/2002) (De-listed 08/2014),Private,,Advisor,,Republic Of Ireland,NED,Germany,Non-Brd,,Dirk Ernestus Van Den Broeck,,Europe - Company Network - 6,Europe,Director,Company Network,6,
4MBO INTERNATIONAL ELECTRONIC AG (De-listed 03/2004),Real Estate,,2373410823,Quoted,,,3822012654,6,NED,1982.0,Historic (1982),Historic,11941263,IVG IMMOBILIEN AG (IVG Hldg prior to 06/2002) (De-listed 08/2014),Quoted,,Advisory Board Member,,Germany,Chairman,Germany,Non-Brd,,Doctor Dietmar Kubis,1976.0,Europe - Company Network - 6,Europe,Director,Company Network,6,
A_NET Digital Media GmbH,Real Estate,,2373410823,Quoted,2007-12-31 00:00:00,,986612879,,Non-Brd,,Historic,Historic (2007),195140712091,IVG IMMOBILIEN AG (IVG Hldg prior to 06/2002) (De-listed 08/2014),Private,1,Advisor,2006-12-01 00:00:00,Germany,Chairman,Germany,Non-Brd,,Doctor Joachim von Harbou,,Europe - Company Network - 6,Europe,Director,Company Network,6,
2-10 Home Buyers Warranty (2-10 HBW),Telecommunication Services,,279273275,Quoted,1995,,11455523733,,NED,,Historic,Historic (1995),1197412301,MILLICOM INTERNATIONAL CELLULAR SA,Private,7,Senior Executive VP,1988,United States,Chairman,Luxembourg,ED,,Jun Tsusaka,,Europe - Company Network - 7,Europe,Director,Company Network,7,
3C Communications International SA,Telecommunication Services,,279273275,Quoted,2002,,32567844,,Non-Brd,,Historic,Historic (2002),8740376645,MILLICOM INTERNATIONAL CELLULAR SA,Private,1,Board Member -SD,2001,Luxembourg,COO,Luxembourg,NED,,Jean-Claude Bintz,,Europe - Company Network - 7,Europe,Director,Company Network,7,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Telecommunication Services,Diversified Industrials,279273275,Quoted,2013-09-01 00:00:00,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",15487778816,2,Non-Brd,2006-12-01 00:00:00,Historic (2006),Historic (2013),279913389,MILLICOM INTERNATIONAL CELLULAR SA,Quoted,1,Various Positions,2012-06-01 00:00:00,United States,Leader,Luxembourg,Non-Brd,,Carlos Caceres,2004-08-01 00:00:00,Europe - Company Network - 7,Europe,Director,Company Network,7,
3S Photonics SAS,Telecommunication Services,,279273275,Quoted,2015-10-01 00:00:00,,11281753366,< 1 Year,Non-Brd,2014-10-01 00:00:00,Historic (2014),Historic (2015),195657712128,MILLICOM INTERNATIONAL CELLULAR SA,Private,1,Regional CEO,2015-02-01 00:00:00,France,President,Luxembourg,Non-Brd,,Denis Martin,2014-05-14 00:00:00,Europe - Company Network - 7,Europe,Director,Company Network,7,
600 GROUP PLC (THE),Telecommunication Services,Engineering & Machinery,279273275,Quoted,1998-01-01 00:00:00,FTSE AIM,24755837928,< 1 Year,ED,2021-02-10 00:00:00,Historic (2021),Historic (1998),12271912,MILLICOM INTERNATIONAL CELLULAR SA,Quoted,6,Regional CFO,1992-02-01 00:00:00,United Kingdom - England,CFO,Luxembourg,Non-Brd,,G (Mitch) Mitchell Krasny,2020-12-22 00:00:00,Europe - Company Network - 7,Europe,Director,Company Network,7,
4finance Group SA (PM Lux SA prior to 10/2015),Banks,,78899154,Quoted,2017-12-20 00:00:00,,185794511398,1,ED,2017-06-30 00:00:00,Historic (2017),Historic (2019),270003710009,PIRAEUS FINANCIAL HOLDINGS SA (Piraeus Bank SA prior to 01/2021),Private,< 1 Year,Senior General Manager,2017-09-01 00:00:00,Luxembourg,CEO,Greece,Non-Brd,,George Georgakopoulos,2016-05-01 00:00:00,Europe - Company Network - 8,Europe,Director,Company Network,8,
4finance Group SA (PM Lux SA prior to 10/2015),Banks,,78899154,Quoted,2019-10-01 00:00:00,,185794511398,1,ED,2017-06-30 00:00:00,Historic (2017),Historic (2019),270003710009,PIRAEUS FINANCIAL HOLDINGS SA (Piraeus Bank SA prior to 01/2021),Private,2,Executive General Manager,2017-12-20 00:00:00,Luxembourg,CEO,Greece,ED,,George Georgakopoulos,2016-05-01 00:00:00,Europe - Company Network - 8,Europe,Director,Company Network,8,
4finance Holding SA,Banks,,78899154,Quoted,2017-12-20 00:00:00,,185794511398,1,NED,2017-06-30 00:00:00,Historic (2017),Historic (2019),24465197619,PIRAEUS FINANCIAL HOLDINGS SA (Piraeus Bank SA prior to 01/2021),Private,< 1 Year,Senior General Manager,2017-09-01 00:00:00,Luxembourg,Chairman,Greece,Non-Brd,,George Georgakopoulos,2016-05-01 00:00:00,Europe - Company Network - 8,Europe,Director,Company Network,8,
4finance Holding SA,Banks,,78899154,Quoted,2019-10-01 00:00:00,,185794511398,1,NED,2017-06-30 00:00:00,Historic (2017),Historic (2019),24465197619,PIRAEUS FINANCIAL HOLDINGS SA (Piraeus Bank SA prior to 01/2021),Private,2,Executive General Manager,2017-12-20 00:00:00,Luxembourg,Chairman,Greece,ED,,George Georgakopoulos,2016-05-01 00:00:00,Europe - Company Network - 8,Europe,Director,Company Network,8,
AB Skrindan,Banks,,78899154,Quoted,Current,,92747511514,,NED,,Historic,Current,5746317727,PIRAEUS FINANCIAL HOLDINGS SA (Piraeus Bank SA prior to 01/2021),Private,5,Independent Board Member,2016-06-08 00:00:00,Sweden,Chairman,Greece,NED,,Doctor Sten-Arne Berggren,,Europe - Company Network - 8,Europe,Director,Company Network,8,
1996 Air GP Inc,Information Technology Hardware,,3569711015,Quoted,2004-04-29 00:00:00,,155502518,,Non-Brd,,Historic,Historic (2004),8983009136,SEAGATE TECHNOLOGY PLC (Seagate Technology prior to 07/2010),Private,3,Director -SD,2000-11-01 00:00:00,United States,Executive Officer,Republic Of Ireland,NED,S&P 500,David (Dave) Bonderman,,Europe - Company Network - 9,Europe,Director,Company Network,9,
2D2C Inc,Information Technology Hardware,,3569711015,Quoted,1994,,5921769383,< 1 Year,NED,2017-06-01 00:00:00,Historic (2017),Historic (1994),204235112739,SEAGATE TECHNOLOGY PLC (Seagate Technology prior to 07/2010),Private,5,Manager,1989,United States,Director -SD,Republic Of Ireland,Non-Brd,S&P 500,Jeff Kost,2017-01-01 00:00:00,Europe - Company Network - 9,Europe,Director,Company Network,9,
2D2C Inc,Information Technology Hardware,,3569711015,Quoted,1994,,5921769383,< 1 Year,Non-Brd,2016-12-01 00:00:00,Historic (2017),Historic (1994),204235112739,SEAGATE TECHNOLOGY PLC (Seagate Technology prior to 07/2010),Private,5,Manager,1989,United States,President/CEO,Republic Of Ireland,Non-Brd,S&P 500,Jeff Kost,2016-08-01 00:00:00,Europe - Company Network - 9,Europe,Director,Company Network,9,
2D2C Inc,Information Technology Hardware,,3569711015,Quoted,1994,,5921769383,3,NED,2016-08-01 00:00:00,Historic (2017),Historic (1994),204235112739,SEAGATE TECHNOLOGY PLC (Seagate Technology prior to 07/2010),Private,5,Manager,1989,United States,Independent Director,Republic Of Ireland,Non-Brd,S&P 500,Jeff Kost,2013-07-01 00:00:00,Europe - Company Network - 9,Europe,Director,Company Network,9,
