Annual Report Year,Total Wealth,CompanyID*,ED/SD,ISIN,Equity Linked,DirectorID*,Ticker,Director Role,Company Name,Total Compensation,Direct Compensation,Director Name,Sector,Index,Country,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
Dec 2001,,14501792,ED,CH0012221716,,209898826,"ABB, ABBN",President/CEO,ABB LTD,2027.0,2027.0,Jörgen Centerman,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2001,Europe,Director,Compensation,2001,
Dec 2001,,14501792,ED,CH0012221716,,212108996,"ABB, ABBN",Executive VP/Division Head,ABB LTD,,0.0,Eric Drewery,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2001,Europe,Director,Compensation,2001,
Dec 2001,,14501792,ED,CH0012221716,,215729274,"ABB, ABBN",Executive VP,ABB LTD,,0.0,Andrew Eriksson,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2001,Europe,Director,Compensation,2001,
Dec 2001,,14501792,ED,CH0012221716,,215899292,"ABB, ABBN",Executive VP/CFO,ABB LTD,,0.0,Doctor Renato Fassbind,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2001,Europe,Director,Compensation,2001,
Dec 2001,,14501792,ED,CH0012221716,,218009447,"ABB, ABBN",Executive VP,ABB LTD,,0.0,Doctor Gorm Gundersen,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2001,Europe,Director,Compensation,2001,
Dec 2002,486.0,14501792,ED,CH0012221716,368.0,164374162,"ABB, ABBN",Chairman/President/CEO,ABB LTD,1728.0,1361.0,Juergen Dormann,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2002,Europe,Director,Compensation,2002,
Dec 2002,,14501792,ED,CH0012221716,,336999554,"ABB, ABBN",Executive VP/CFO,ABB LTD,968.0,968.0,Peter Robert Voser,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2002,Europe,Director,Compensation,2002,
Dec 2002,42.0,14501792,SD,CH0012221716,42.0,2369110791,"ABB, ABBN",Independent Director,ABB LTD,109.0,67.0,Doctor Bernd W Voss,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2002,Europe,Director,Compensation,2002,
Dec 2002,130.0,14501792,SD,CH0012221716,80.0,2370610807,"ABB, ABBN",Independent Director,ABB LTD,261.0,181.0,Jacob Wallenberg,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2002,Europe,Director,Compensation,2002,
Dec 2002,76.0,14501792,SD,CH0012221716,76.0,336949554,"ABB, ABBN",Independent Director,ABB LTD,250.0,175.0,Roger Agnelli,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2002,Europe,Director,Compensation,2002,
Dec 2003,2175.0,14501792,ED,CH0012221716,584.0,164374162,"ABB, ABBN",Chairman/President/CEO,ABB LTD,2524.0,1939.0,Juergen Dormann,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2003,Europe,Director,Compensation,2003,
Dec 2003,64.0,14501792,ED,CH0012221716,,336999554,"ABB, ABBN",Executive VP/CFO,ABB LTD,839.0,839.0,Peter Robert Voser,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2003,Europe,Director,Compensation,2003,
Dec 2003,137.0,14501792,SD,CH0012221716,87.0,175645623,"ABB, ABBN",Independent Director,ABB LTD,149.0,62.0,Louis (Lou) Ralph Hughes,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2003,Europe,Director,Compensation,2003,
Dec 2003,143.0,14501792,SD,CH0012221716,78.0,2356810710,"ABB, ABBN",Independent Director,ABB LTD,134.0,56.0,Michael Aage Treschow,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2003,Europe,Director,Compensation,2003,
Dec 2003,398.0,14501792,SD,CH0012221716,173.0,2369110791,"ABB, ABBN",Independent Director,ABB LTD,173.0,0.0,Doctor Bernd W Voss,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2003,Europe,Director,Compensation,2003,
Dec 2004,3042.0,14501792,ED,CH0012221716,357.0,164374162,"ABB, ABBN",Chairman/President/CEO,ABB LTD,2844.0,2487.0,Juergen Dormann,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2004,Europe,Director,Compensation,2004,
Dec 2004,170.0,14501792,SD,CH0012221716,30.0,175645623,"ABB, ABBN",Independent Director,ABB LTD,61.0,31.0,Louis (Lou) Ralph Hughes,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2004,Europe,Director,Compensation,2004,
Dec 2004,198.0,14501792,SD,CH0012221716,53.0,2356810710,"ABB, ABBN",Independent Director,ABB LTD,109.0,56.0,Michael Aage Treschow,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2004,Europe,Director,Compensation,2004,
Dec 2004,523.0,14501792,SD,CH0012221716,118.0,2369110791,"ABB, ABBN",Independent Director,ABB LTD,118.0,0.0,Doctor Bernd W Voss,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2004,Europe,Director,Compensation,2004,
Dec 2004,474.0,14501792,SD,CH0012221716,113.0,2370610807,"ABB, ABBN",Independent Director,ABB LTD,113.0,0.0,Jacob Wallenberg,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2004,Europe,Director,Compensation,2004,
Dec 2005,13893.0,14501792,SD,CH0012221716,8502.0,164374162,"ABB, ABBN",Chairman,ABB LTD,8808.0,306.0,Juergen Dormann,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2005,Europe,Director,Compensation,2005,
Dec 2005,414.0,14501792,SD,CH0012221716,58.0,175645623,"ABB, ABBN",Independent Director,ABB LTD,95.0,37.0,Louis (Lou) Ralph Hughes,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2005,Europe,Director,Compensation,2005,
Dec 2005,508.0,14501792,SD,CH0012221716,93.0,2356810710,"ABB, ABBN",Independent Director,ABB LTD,148.0,56.0,Michael Aage Treschow,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2005,Europe,Director,Compensation,2005,
Dec 2005,971.0,14501792,SD,CH0012221716,225.0,2369110791,"ABB, ABBN",Independent Director,ABB LTD,287.0,62.0,Doctor Bernd W Voss,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2005,Europe,Director,Compensation,2005,
Dec 2005,1096.0,14501792,SD,CH0012221716,104.0,2370610807,"ABB, ABBN",Independent Director,ABB LTD,104.0,0.0,Jacob Wallenberg,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2005,Europe,Director,Compensation,2005,
Dec 2006,17360.0,14501792,SD,CH0012221716,,164374162,"ABB, ABBN",Chairman,ABB LTD,934.0,934.0,Juergen Dormann,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2006,Europe,Director,Compensation,2006,
Dec 2006,782.0,14501792,SD,CH0012221716,,175645623,"ABB, ABBN",Independent Director,ABB LTD,156.0,156.0,Louis (Lou) Ralph Hughes,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2006,Europe,Director,Compensation,2006,
Dec 2006,933.0,14501792,SD,CH0012221716,,2356810710,"ABB, ABBN",Independent Director,ABB LTD,156.0,156.0,Michael Aage Treschow,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2006,Europe,Director,Compensation,2006,
Dec 2006,1824.0,14501792,SD,CH0012221716,,2369110791,"ABB, ABBN",Independent Director,ABB LTD,156.0,156.0,Doctor Bernd W Voss,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2006,Europe,Director,Compensation,2006,
Dec 2006,1930.0,14501792,SD,CH0012221716,,2370610807,"ABB, ABBN",Independent Director,ABB LTD,156.0,156.0,Jacob Wallenberg,Engineering & Machinery,"OMX Stockholm 30, SMI , Stoxx Europe 50",Switzerland,Europe - Compensation - 2006,Europe,Director,Compensation,2006,
Mar 2007,,9811997164,SD,JE00BF5FX167,,46356308,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),,0.0,Peter Wagner,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2007,Europe,Director,Compensation,2007,
Mar 2007,,9811997164,SD,JE00BF5FX167,,52649212325,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),,0.0,Paul Waller,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2007,Europe,Director,Compensation,2007,
Mar 2007,,9811997164,SD,JE00BF5FX167,,5875348977,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),,0.0,Peter I Sedgwick,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2007,Europe,Director,Compensation,2007,
Mar 2007,,9811997164,SD,JE00BF5FX167,,5875418977,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),,0.0,Philip (Phil) Joseph Austin,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2007,Europe,Director,Compensation,2007,
Mar 2007,,9811997164,SD,JE00BF5FX167,,5875538977,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),,0.0,Martin John Dryden,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2007,Europe,Director,Compensation,2007,
Mar 2008,55.0,9811997164,SD,JE00BF5FX167,,46356308,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),132.0,132.0,Peter Wagner,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2008,Europe,Director,Compensation,2008,
Mar 2008,,9811997164,SD,JE00BF5FX167,,52649212325,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),50.0,50.0,Paul Waller,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2008,Europe,Director,Compensation,2008,
Mar 2008,55.0,9811997164,SD,JE00BF5FX167,,5875348977,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),188.0,188.0,Peter I Sedgwick,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2008,Europe,Director,Compensation,2008,
Mar 2008,,9811997164,SD,JE00BF5FX167,,5875418977,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),75.0,75.0,Philip (Phil) Joseph Austin,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2008,Europe,Director,Compensation,2008,
Mar 2008,,9811997164,SD,JE00BF5FX167,,5875538977,3IN,Senior Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),75.0,75.0,Martin John Dryden,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2008,Europe,Director,Compensation,2008,
Mar 2009,,9811997164,SD,JE00BF5FX167,,127555791,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),12.0,12.0,Sir John Alexander Collins,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2009,Europe,Director,Compensation,2009,
Mar 2009,42.0,9811997164,SD,JE00BF5FX167,,46356308,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),77.0,77.0,Peter Wagner,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2009,Europe,Director,Compensation,2009,
Mar 2009,25.0,9811997164,SD,JE00BF5FX167,,52649212325,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),44.0,44.0,Paul Waller,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2009,Europe,Director,Compensation,2009,
Mar 2009,42.0,9811997164,SD,JE00BF5FX167,,5875348977,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),125.0,125.0,Peter I Sedgwick,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2009,Europe,Director,Compensation,2009,
Mar 2009,9.0,9811997164,SD,JE00BF5FX167,,5875418977,3IN,Senior Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),49.0,49.0,Philip (Phil) Joseph Austin,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2009,Europe,Director,Compensation,2009,
Mar 2010,,9811997164,SD,JE00BF5FX167,,11225133228,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),26.0,26.0,Kirsten Charlotte Valeur-Adu,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2010,Europe,Director,Compensation,2010,
Mar 2010,24.0,9811997164,SD,JE00BF5FX167,,127555791,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),51.0,51.0,Sir John Alexander Collins,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2010,Europe,Director,Compensation,2010,
Mar 2010,287.0,9811997164,SD,JE00BF5FX167,,52649212325,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),47.0,47.0,Paul Waller,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2010,Europe,Director,Compensation,2010,
Mar 2010,61.0,9811997164,SD,JE00BF5FX167,,5875348977,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),146.0,146.0,Peter I Sedgwick,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2010,Europe,Director,Compensation,2010,
Mar 2010,12.0,9811997164,SD,JE00BF5FX167,,5875418977,3IN,Senior Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),56.0,56.0,Philip (Phil) Joseph Austin,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2010,Europe,Director,Compensation,2010,
Mar 2011,,9811997164,SD,JE00BF5FX167,,11225133228,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),48.0,48.0,Kirsten Charlotte Valeur-Adu,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2011,Europe,Director,Compensation,2011,
Mar 2011,,9811997164,SD,JE00BF5FX167,,11384953586,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),34.0,34.0,Florence Pierre,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2011,Europe,Director,Compensation,2011,
Mar 2011,25.0,9811997164,SD,JE00BF5FX167,,127555791,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),48.0,48.0,Sir John Alexander Collins,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2011,Europe,Director,Compensation,2011,
Mar 2011,325.0,9811997164,SD,JE00BF5FX167,,52649212325,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),48.0,48.0,Paul Waller,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2011,Europe,Director,Compensation,2011,
Mar 2011,66.0,9811997164,SD,JE00BF5FX167,,5875348977,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),147.0,147.0,Peter I Sedgwick,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2011,Europe,Director,Compensation,2011,
Mar 2012,5.0,9811997164,SD,JE00BF5FX167,,11225133228,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),52.0,52.0,Kirsten Charlotte Valeur-Adu,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2012,Europe,Director,Compensation,2012,
Mar 2012,,9811997164,SD,JE00BF5FX167,,11384953586,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),66.0,66.0,Florence Pierre,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2012,Europe,Director,Compensation,2012,
Mar 2012,28.0,9811997164,SD,JE00BF5FX167,,127555791,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),50.0,50.0,Sir John Alexander Collins,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2012,Europe,Director,Compensation,2012,
Mar 2012,361.0,9811997164,SD,JE00BF5FX167,,52649212325,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),50.0,50.0,Paul Waller,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2012,Europe,Director,Compensation,2012,
Mar 2012,132.0,9811997164,SD,JE00BF5FX167,,5875348977,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),162.0,162.0,Peter I Sedgwick,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2012,Europe,Director,Compensation,2012,
Mar 2013,,9811997164,SD,JE00BF5FX167,,11225133228,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),,,Kirsten Charlotte Valeur-Adu,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2013,Europe,Director,Compensation,2013,
Mar 2013,8.0,9811997164,SD,JE00BF5FX167,,11384953586,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),62.0,62.0,Florence Pierre,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2013,Europe,Director,Compensation,2013,
Mar 2013,30.0,9811997164,SD,JE00BF5FX167,,127555791,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),50.0,50.0,Sir John Alexander Collins,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2013,Europe,Director,Compensation,2013,
Mar 2013,385.0,9811997164,SD,JE00BF5FX167,,52649212325,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),50.0,50.0,Paul Waller,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2013,Europe,Director,Compensation,2013,
Mar 2013,165.0,9811997164,SD,JE00BF5FX167,,5875348977,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),166.0,166.0,Peter I Sedgwick,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2013,Europe,Director,Compensation,2013,
Mar 2014,31.0,9811997164,SD,JE00BF5FX167,,127555791,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),54.0,54.0,Sir John Alexander Collins,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2014,Europe,Director,Compensation,2014,
Mar 2014,,9811997164,SD,JE00BF5FX167,,13584596849,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),57.0,57.0,Paul A Masterton,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2014,Europe,Director,Compensation,2014,
Mar 2014,170.0,9811997164,SD,JE00BF5FX167,,5875348977,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),169.0,169.0,Peter I Sedgwick,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2014,Europe,Director,Compensation,2014,
Mar 2014,16.0,9811997164,SD,JE00BF5FX167,,5875418977,3IN,Senior Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),64.0,64.0,Philip (Phil) Joseph Austin,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2014,Europe,Director,Compensation,2014,
Mar 2014,16.0,9811997164,SD,JE00BF5FX167,,5881589034,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),67.0,67.0,Steven (Steve) Peter Wilderspin,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2014,Europe,Director,Compensation,2014,
Mar 2015,22.0,9811997164,SD,JE00BF5FX167,,13584596849,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),66.0,66.0,Paul A Masterton,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2015,Europe,Director,Compensation,2015,
Mar 2015,,9811997164,SD,JE00BF5FX167,,13665216944,3IN,NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),52.0,52.0,Ian Matthew Lobley,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2015,Europe,Director,Compensation,2015,
Mar 2015,,9811997164,SD,JE00BF5FX167,,15379548720,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),17.0,17.0,James (Doug) Douglas Bannister,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2015,Europe,Director,Compensation,2015,
Mar 2015,,9811997164,SD,JE00BF5FX167,,15379588720,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),6.0,6.0,Wendy Jane Dorman,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2015,Europe,Director,Compensation,2015,
Mar 2015,231.0,9811997164,SD,JE00BF5FX167,,5875348977,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),193.0,193.0,Peter I Sedgwick,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2015,Europe,Director,Compensation,2015,
Mar 2016,20.0,9811997164,SD,JE00BF5FX167,,13584596849,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),65.0,65.0,Paul A Masterton,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2016,Europe,Director,Compensation,2016,
Mar 2016,,9811997164,SD,JE00BF5FX167,,13665216944,3IN,NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),56.0,56.0,Ian Matthew Lobley,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2016,Europe,Director,Compensation,2016,
Mar 2016,,9811997164,SD,JE00BF5FX167,,15379548720,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),65.0,65.0,James (Doug) Douglas Bannister,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2016,Europe,Director,Compensation,2016,
Mar 2016,,9811997164,SD,JE00BF5FX167,,15379588720,3IN,Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),63.0,63.0,Wendy Jane Dorman,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2016,Europe,Director,Compensation,2016,
Mar 2016,44.0,9811997164,SD,JE00BF5FX167,,3434710052,3IN,Chairman (Independent NED),3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),44.0,44.0,Richard George Laing,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2016,Europe,Director,Compensation,2016,
Mar 2017,46.0,9811997164,SD,JE00BF5FX167,,13584596849,3IN,Senior Independent NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),64.0,64.0,Paul A Masterton,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2017,Europe,Director,Compensation,2017,
Mar 2017,,9811997164,SD,JE00BF5FX167,,13665216944,3IN,NED,3I INFRASTRUCTURE PLC (3i Infrastructure Ltd prior to 07/2008),53.0,53.0,Ian Matthew Lobley,Investment Companies,FTSE 250,Jersey,Europe - Compensation - 2017,Europe,Director,Compensation,2017,
